序号,扫描日期,排名,股票代码,股票名称,匹配度,流通市值(亿元),买入日期,买入价格
1,2025-01-02,1,000722,湖南发展,0.954,,2025-01-02,9.19
2,2025-01-02,2,601890,亚星锚链,0.948,,2025-01-02,7.36
3,2025-01-02,3,300222,科大智能,0.942,,2025-01-02,9.70
4,2025-01-06,1,000722,湖南发展,0.954,,2025-01-06,8.93
5,2025-01-06,2,601890,亚星锚链,0.948,,2025-01-06,7.20
6,2025-01-06,3,300222,科大智能,0.942,,2025-01-06,8.93
7,2025-01-13,1,000722,湖南发展,0.954,,2025-01-13,8.80
8,2025-01-13,2,601890,亚星锚链,0.948,,2025-01-13,7.18
9,2025-01-13,3,300222,科大智能,0.942,,2025-01-13,9.35
10,2025-01-20,1,000722,湖南发展,0.954,,2025-01-20,9.20
11,2025-01-20,2,000911,广农糖业,0.951,,2025-01-20,7.13
12,2025-01-20,3,603906,龙蟠科技,0.951,,2025-01-20,10.11
13,2025-01-27,1,000722,湖南发展,0.954,,2025-01-27,9.09
14,2025-01-27,2,000911,广农糖业,0.951,,2025-01-27,7.03
15,2025-01-27,3,603906,龙蟠科技,0.951,,2025-01-27,9.79
16,2025-02-05,1,000722,湖南发展,0.954,,2025-02-05,9.10
17,2025-02-05,2,000911,广农糖业,0.951,,2025-02-05,7.06
18,2025-02-05,3,603906,龙蟠科技,0.951,,2025-02-05,9.91
19,2025-02-10,1,000722,湖南发展,0.954,,2025-02-10,9.73
20,2025-02-10,2,000911,广农糖业,0.951,,2025-02-10,7.29
21,2025-02-10,3,603906,龙蟠科技,0.951,,2025-02-10,10.34
22,2025-02-17,1,000722,湖南发展,0.954,,2025-02-17,9.52
23,2025-02-17,2,000911,广农糖业,0.951,,2025-02-17,7.20
24,2025-02-17,3,603906,龙蟠科技,0.951,,2025-02-17,10.13
25,2025-02-24,1,000722,湖南发展,0.954,,2025-02-24,9.45
26,2025-02-24,2,000911,广农糖业,0.951,,2025-02-24,7.15
27,2025-02-24,3,603906,龙蟠科技,0.951,,2025-02-24,11.82
28,2025-03-03,1,000722,湖南发展,0.954,,2025-03-03,9.53
29,2025-03-03,2,000911,广农糖业,0.951,,2025-03-03,6.94
30,2025-03-03,3,603906,龙蟠科技,0.951,,2025-03-03,13.48
31,2025-03-10,1,000722,湖南发展,0.954,,2025-03-10,9.45
32,2025-03-10,2,000911,广农糖业,0.951,,2025-03-10,6.94
