序号,扫描日期,买入日期,股票代码,股票名称,匹配度,买入价格
1,2025-01-02,2025-01-02,000722,湖南发展,0.954,9.19
2,2025-01-02,2025-01-02,601890,亚星锚链,0.948,7.36
3,2025-01-02,2025-01-02,300222,科大智能,0.942,9.70
4,2025-01-06,2025-01-06,000722,湖南发展,0.954,8.93
5,2025-01-06,2025-01-06,601890,亚星锚链,0.948,7.20
6,2025-01-06,2025-01-06,300222,科大智能,0.942,8.93
7,2025-01-13,2025-01-13,000722,湖南发展,0.954,8.80
8,2025-01-13,2025-01-13,601890,亚星锚链,0.948,7.18
9,2025-01-13,2025-01-13,300222,科大智能,0.942,9.35
10,2025-01-20,2025-01-20,000722,湖南发展,0.954,9.20
11,2025-01-20,2025-01-20,000911,广农糖业,0.951,7.13
12,2025-01-20,2025-01-20,603906,龙蟠科技,0.951,10.11
13,2025-01-27,2025-01-27,000722,湖南发展,0.954,9.09
14,2025-01-27,2025-01-27,000911,广农糖业,0.951,7.03
15,2025-01-27,2025-01-27,603906,龙蟠科技,0.951,9.79
16,2025-02-05,2025-02-05,000722,湖南发展,0.954,9.10
17,2025-02-05,2025-02-05,000911,广农糖业,0.951,7.06
18,2025-02-05,2025-02-05,603906,龙蟠科技,0.951,9.91
19,2025-02-10,2025-02-10,000722,湖南发展,0.954,9.73
20,2025-02-10,2025-02-10,000911,广农糖业,0.951,7.29
21,2025-02-10,2025-02-10,603906,龙蟠科技,0.951,10.34
22,2025-02-17,2025-02-17,000722,湖南发展,0.954,9.52
23,2025-02-17,2025-02-17,000911,广农糖业,0.951,7.20
24,2025-02-17,2025-02-17,603906,龙蟠科技,0.951,10.13
25,2025-02-24,2025-02-24,000722,湖南发展,0.954,9.45
26,2025-02-24,2025-02-24,000911,广农糖业,0.951,7.15
27,2025-02-24,2025-02-24,603906,龙蟠科技,0.951,11.82
28,2025-03-03,2025-03-03,000722,湖南发展,0.954,9.53
29,2025-03-03,2025-03-03,000911,广农糖业,0.951,6.94
30,2025-03-03,2025-03-03,603906,龙蟠科技,0.951,13.48
