股票代码,股票名称,匹配度,最佳买点日期,最佳买点价格,当前价格,市值,核心特征匹配,特征
300512,中亚股份,0.93,2025-12-31,9.52,9.52,30.84,{},"{'起点当周量比': 0.5, '起点前10周均量': 226796.0, '起点前20周均量': 234908.0, '起点前40周均量': 222148.0, '成交量萎缩程度': 0.97, '起点前40周最大量': 1050295.0, '最大量对应最低价': 5.79, '最大量对应日期': '2024-08-30', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.11, '价格相对位置': 63.14, '相对高点跌幅': 13.0, '起点前20周最高价': 8.31, '起点前20周最低价': 5.38, '起点前40周最高价': 8.31, '起点前40周最低价': 5.21, '起点前20周波动幅度': 54.46, '价格相对MA5': 8.62, 'MA5值': 6.66, '价格相对MA10': 1.16, 'MA10值': 7.15, '价格相对MA20': 3.52, 'MA20值': 6.98, '价格相对MA40': 11.82, 'MA40值': 6.47, 'MA20斜率': 3.16, '起点前20周量价相关系数': 0.068, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 27.7, '起点前20周波动率': 41.86, '90%成本集中度': 16.75, '筹码集中度': 46.42, '盈利筹码比例': 70.09, '起点价格': 7.23, '起点日期': '2025-02-07'}"
300597,吉大通信,0.929,2025-12-31,9.24,9.24,25.07,{},"{'起点当周量比': 0.38, '起点前10周均量': 480649.0, '起点前20周均量': 567402.0, '起点前40周均量': 462859.0, '成交量萎缩程度': 0.85, '起点前40周最大量': 1227769.0, '最大量对应最低价': 9.08, '最大量对应日期': '2024-11-15', '是否跌破最大量最低价': 1, '相对最大量最低价跌幅': 0.11, '起点量比最大量': 0.15, '价格相对位置': 61.66, '相对高点跌幅': 14.03, '起点前20周最高价': 10.55, '起点前20周最低价': 6.69, '起点前40周最高价': 10.55, '起点前40周最低价': 6.12, '起点前20周波动幅度': 57.7, '价格相对MA5': 9.33, 'MA5值': 8.3, '价格相对MA10': 1.22, 'MA10值': 8.96, '价格相对MA20': 2.96, 'MA20值': 8.81, '价格相对MA40': 14.4, 'MA40值': 7.93, 'MA20斜率': -0.29, '起点前20周量价相关系数': 0.044, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 27.42, '起点前20周波动率': 36.29, '90%成本集中度': 14.72, '筹码集中度': 53.79, '盈利筹码比例': 65.41, '起点价格': 9.07, '起点日期': '2025-02-07'}"
000655,金岭矿业,0.925,2025-12-31,9.5,9.5,56.56,{},"{'起点当周量比': 2.22, '起点前10周均量': 353761.0, '起点前20周均量': 380386.0, '起点前40周均量': 336816.0, '成交量萎缩程度': 0.93, '起点前40周最大量': 1271758.0, '最大量对应最低价': 5.93, '最大量对应日期': '2024-11-01', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.62, '价格相对位置': 62.11, '相对高点跌幅': 12.39, '起点前20周最高价': 6.94, '起点前20周最低价': 4.67, '起点前40周最高价': 6.94, '起点前40周最低价': 4.67, '起点前20周波动幅度': 48.61, '价格相对MA5': 1.64, 'MA5值': 5.98, '价格相对MA10': -2.11, 'MA10值': 6.21, '价格相对MA20': 3.26, 'MA20值': 5.89, '价格相对MA40': 6.79, 'MA40值': 5.69, 'MA20斜率': 14.86, '起点前20周量价相关系数': 0.196, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 19.29, '起点前20周波动率': 41.3, '90%成本集中度': 16.24, '筹码集中度': 70.09, '盈利筹码比例': 66.5, '起点价格': 6.08, '起点日期': '2025-01-24'}"
300414,中光防雷,0.923,2025-12-31,14.95,14.95,46.87,{},"{'起点当周量比': 0.48, '起点前10周均量': 281113.0, '起点前20周均量': 382745.0, '起点前40周均量': 311769.0, '成交量萎缩程度': 0.73, '起点前40周最大量': 901414.0, '最大量对应最低价': 7.79, '最大量对应日期': '2024-10-18', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.15, '价格相对位置': 53.28, '相对高点跌幅': 17.48, '起点前20周最高价': 9.78, '起点前20周最低价': 6.12, '起点前40周最高价': 9.78, '起点前40周最低价': 5.65, '起点前20周波动幅度': 59.8, '价格相对MA5': 8.41, 'MA5值': 7.44, '价格相对MA10': -0.75, 'MA10值': 8.13, '价格相对MA20': -0.07, 'MA20值': 8.08, '价格相对MA40': 9.67, 'MA40值': 7.36, 'MA20斜率': -3.4, '起点前20周量价相关系数': 0.254, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 27.84, '起点前20周波动率': 39.53, '90%成本集中度': 16.07, '筹码集中度': 57.54, '盈利筹码比例': 63.53, '起点价格': 8.07, '起点日期': '2025-02-07'}"
300193,佳士科技,0.922,2025-12-31,8.95,8.95,37.56,{},"{'起点当周量比': 0.7, '起点前10周均量': 513263.0, '起点前20周均量': 534988.0, '起点前40周均量': 392993.0, '成交量萎缩程度': 0.96, '起点前40周最大量': 1051412.0, '最大量对应最低价': 9.33, '最大量对应日期': '2024-12-06', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.34, '价格相对位置': 66.67, '相对高点跌幅': 11.96, '起点前20周最高价': 10.62, '起点前20周最低价': 6.81, '起点前40周最高价': 10.62, '起点前40周最低价': 6.22, '起点前20周波动幅度': 55.95, '价格相对MA5': 6.91, 'MA5值': 8.75, '价格相对MA10': 3.05, 'MA10值': 9.07, '价格相对MA20': 5.94, 'MA20值': 8.83, '价格相对MA40': 17.54, 'MA40值': 7.95, 'MA20斜率': 7.63, '起点前20周量价相关系数': 0.093, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 18.61, '起点前20周波动率': 37.71, '90%成本集中度': 15.06, '筹码集中度': 49.12, '盈利筹码比例': 85.02, '起点价格': 9.35, '起点日期': '2025-02-07'}"
002842,翔鹭钨业,0.921,2025-12-31,14.46,14.46,38.82,{},"{'起点当周量比': 0.37, '起点前10周均量': 374021.0, '起点前20周均量': 397725.0, '起点前40周均量': 346235.0, '成交量萎缩程度': 0.94, '起点前40周最大量': 1090140.0, '最大量对应最低价': 7.11, '最大量对应日期': '2024-12-06', '是否跌破最大量最低价': 1, '相对最大量最低价跌幅': 4.92, '起点量比最大量': 0.13, '价格相对位置': 57.14, '相对高点跌幅': 17.56, '起点前20周最高价': 8.2, '起点前20周最低价': 4.84, '起点前40周最高价': 8.2, '起点前40周最低价': 4.75, '起点前20周波动幅度': 69.42, '价格相对MA5': 5.99, 'MA5值': 6.38, '价格相对MA10': -0.32, 'MA10值': 6.78, '价格相对MA20': 4.42, 'MA20值': 6.47, '价格相对MA40': 13.57, 'MA40值': 5.95, 'MA20斜率': 11.23, '起点前20周量价相关系数': 0.132, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 27.95, '起点前20周波动率': 49.9, '90%成本集中度': 18.18, '筹码集中度': 63.52, '盈利筹码比例': 63.67, '起点价格': 6.76, '起点日期': '2025-02-07'}"
300095,华伍股份,0.919,2025-12-31,12.12,12.12,41.05,{},"{'起点当周量比': 0.69, '起点前10周均量': 352056.0, '起点前20周均量': 406014.0, '起点前40周均量': 321947.0, '成交量萎缩程度': 0.87, '起点前40周最大量': 1319212.0, '最大量对应最低价': 7.11, '最大量对应日期': '2024-11-08', '是否跌破最大量最低价': 1, '相对最大量最低价跌幅': 8.16, '起点量比最大量': 0.18, '价格相对位置': 44.55, '相对高点跌幅': 20.94, '起点前20周最高价': 8.26, '起点前20周最低价': 5.14, '起点前40周最高价': 8.26, '起点前40周最低价': 4.99, '起点前20周波动幅度': 60.7, '价格相对MA5': 7.26, 'MA5值': 6.09, '价格相对MA10': -1.52, 'MA10值': 6.63, '价格相对MA20': -2.28, 'MA20值': 6.68, '价格相对MA40': 6.22, 'MA40值': 6.15, 'MA20斜率': -3.79, '起点前20周量价相关系数': 0.246, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 25.72, '起点前20周波动率': 43.05, '90%成本集中度': 17.71, '筹码集中度': 69.22, '盈利筹码比例': 52.84, '起点价格': 6.53, '起点日期': '2025-02-07'}"
300404,博济医药,0.919,2025-12-31,9.33,9.33,26.2,{},"{'起点当周量比': 0.68, '起点前10周均量': 539337.0, '起点前20周均量': 576116.0, '起点前40周均量': 576139.0, '成交量萎缩程度': 0.94, '起点前40周最大量': 1750663.0, '最大量对应最低价': 9.79, '最大量对应日期': '2024-12-13', '是否跌破最大量最低价': 1, '相对最大量最低价跌幅': 6.44, '起点量比最大量': 0.21, '价格相对位置': 48.79, '相对高点跌幅': 20.21, '起点前20周最高价': 11.48, '起点前20周最低价': 6.95, '起点前40周最高价': 11.48, '起点前40周最低价': 6.83, '起点前20周波动幅度': 65.18, '价格相对MA5': 11.63, 'MA5值': 8.21, '价格相对MA10': 3.88, 'MA10值': 8.82, '价格相对MA20': 4.79, 'MA20值': 8.74, '价格相对MA40': 12.44, 'MA40值': 8.15, 'MA20斜率': -0.41, '起点前20周量价相关系数': 0.276, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 24.46, '起点前20周波动率': 39.49, '90%成本集中度': 16.49, '筹码集中度': 67.09, '盈利筹码比例': 76.26, '起点价格': 9.16, '起点日期': '2025-02-07'}"
300665,飞鹿股份,0.918,2025-12-31,9.76,9.76,21.28,{},"{'起点当周量比': 0.55, '起点前10周均量': 320414.0, '起点前20周均量': 355242.0, '起点前40周均量': 340652.0, '成交量萎缩程度': 0.9, '起点前40周最大量': 1060302.0, '最大量对应最低价': 4.9, '最大量对应日期': '2024-08-23', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.17, '价格相对位置': 67.41, '相对高点跌幅': 12.94, '起点前20周最高价': 7.88, '起点前20周最低价': 4.75, '起点前40周最高价': 7.88, '起点前40周最低价': 4.52, '起点前20周波动幅度': 65.89, '价格相对MA5': 10.47, 'MA5值': 6.21, '价格相对MA10': 2.16, 'MA10值': 6.72, '价格相对MA20': 5.67, 'MA20值': 6.49, '价格相对MA40': 16.03, 'MA40值': 5.91, 'MA20斜率': 7.44, '起点前20周量价相关系数': -0.082, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 32.52, '起点前20周波动率': 53.63, '90%成本集中度': 18.15, '筹码集中度': 46.21, '盈利筹码比例': 71.43, '起点价格': 6.86, '起点日期': '2025-02-07'}"
300845,捷安高科,0.916,2025-12-31,11.27,11.27,16.3,{},"{'起点当周量比': 0.67, '起点前10周均量': 208584.0, '起点前20周均量': 267863.0, '起点前40周均量': 285431.0, '成交量萎缩程度': 0.78, '起点前40周最大量': 627536.0, '最大量对应最低价': 6.96, '最大量对应日期': '2024-06-21', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.22, '价格相对位置': 52.86, '相对高点跌幅': 18.28, '起点前20周最高价': 11.27, '起点前20周最低价': 6.9, '起点前40周最高价': 11.27, '起点前40周最低价': 6.42, '起点前20周波动幅度': 63.33, '价格相对MA5': 10.27, 'MA5值': 8.35, '价格相对MA10': -0.51, 'MA10值': 9.26, '价格相对MA20': -0.45, 'MA20值': 9.25, '价格相对MA40': 10.34, 'MA40值': 8.35, 'MA20斜率': -4.2, '起点前20周量价相关系数': 0.055, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 34.39, '起点前20周波动率': 44.67, '90%成本集中度': 17.15, '筹码集中度': 52.92, '盈利筹码比例': 57.8, '起点价格': 9.21, '起点日期': '2025-02-07'}"
