股票代码,股票名称,匹配度,最佳买点日期,最佳买点价格,当前价格,市值,核心特征匹配,特征
002209,达 意 隆,0.977,2025-12-31,16.12,16.12,25.2,{},"{'起点当周量比': 0.51, '起点前10周均量': 562977.0, '起点前20周均量': 424937.0, '起点前40周均量': 305564.0, '成交量萎缩程度': 1.32, '起点前40周最大量': 1147753.0, '最大量对应最低价': 10.14, '最大量对应日期': '2024-12-13', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.25, '价格相对位置': 63.42, '相对高点跌幅': 14.3, '起点前20周最高价': 12.1, '起点前20周最低价': 7.37, '起点前40周最高价': 12.1, '起点前40周最低价': 6.96, '起点前20周波动幅度': 64.18, '价格相对MA5': 8.97, 'MA5值': 9.52, '价格相对MA10': 5.53, 'MA10值': 9.83, '价格相对MA20': 11.38, 'MA20值': 9.31, '价格相对MA40': 20.96, 'MA40值': 8.57, 'MA20斜率': 12.48, '起点前20周量价相关系数': 0.334, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 29.23, '起点前20周波动率': 45.06, '90%成本集中度': 18.39, '筹码集中度': 62.98, '盈利筹码比例': 81.29, '起点价格': 10.37, '起点日期': '2025-02-07'}"
603081,大丰实业,0.976,2025-12-31,14.03,14.03,59.28,{},"{'起点当周量比': 0.58, '起点前10周均量': 445771.0, '起点前20周均量': 377524.0, '起点前40周均量': 243149.0, '成交量萎缩程度': 1.18, '起点前40周最大量': 1152243.0, '最大量对应最低价': 11.85, '最大量对应日期': '2024-12-20', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.22, '价格相对位置': 64.12, '相对高点跌幅': 14.21, '起点前20周最高价': 14.22, '起点前20周最低价': 8.59, '起点前40周最高价': 14.22, '起点前40周最低价': 8.59, '起点前20周波动幅度': 65.54, '价格相对MA5': 10.43, 'MA5值': 11.05, '价格相对MA10': 6.24, 'MA10值': 11.48, '价格相对MA20': 14.7, 'MA20值': 10.64, '价格相对MA40': 20.54, 'MA40值': 10.12, 'MA20斜率': 17.88, '起点前20周量价相关系数': 0.155, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 27.07, '起点前20周波动率': 48.9, '90%成本集中度': 18.21, '筹码集中度': 67.24, '盈利筹码比例': 83.25, '起点价格': 12.2, '起点日期': '2025-02-07'}"
300945,曼卡龙,0.973,2025-12-31,16.16,16.16,38.53,{},"{'起点当周量比': 1.24, '起点前10周均量': 917154.0, '起点前20周均量': 788114.0, '起点前40周均量': 664469.0, '成交量萎缩程度': 1.16, '起点前40周最大量': 2210229.0, '最大量对应最低价': 10.99, '最大量对应日期': '2024-12-06', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.51, '价格相对位置': 58.22, '相对高点跌幅': 18.86, '起点前20周最高价': 14.42, '起点前20周最低价': 7.91, '起点前40周最高价': 14.42, '起点前40周最低价': 7.44, '起点前20周波动幅度': 82.3, '价格相对MA5': 3.47, 'MA5值': 11.31, '价格相对MA10': 0.91, 'MA10值': 11.6, '价格相对MA20': 8.49, 'MA20值': 10.78, '价格相对MA40': 18.53, 'MA40值': 9.87, 'MA20斜率': 14.43, '起点前20周量价相关系数': 0.266, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 17.0, '起点前20周波动率': 40.16, '90%成本集中度': 15.21, '筹码集中度': 64.34, '盈利筹码比例': 78.71, '起点价格': 11.7, '起点日期': '2025-02-14'}"
002925,盈趣科技,0.972,2025-12-31,16.94,16.94,123.84,{},"{'起点当周量比': 0.4, '起点前10周均量': 671714.0, '起点前20周均量': 534647.0, '起点前40周均量': 398186.0, '成交量萎缩程度': 1.26, '起点前40周最大量': 1423838.0, '最大量对应最低价': 14.13, '最大量对应日期': '2024-12-20', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.19, '价格相对位置': 60.44, '相对高点跌幅': 15.33, '起点前20周最高价': 17.42, '起点前20周最低价': 10.67, '起点前40周最高价': 17.42, '起点前40周最低价': 10.0, '起点前20周波动幅度': 63.26, '价格相对MA5': 7.46, 'MA5值': 13.73, '价格相对MA10': 3.26, 'MA10值': 14.29, '价格相对MA20': 8.62, 'MA20值': 13.58, '价格相对MA40': 15.87, 'MA40值': 12.73, 'MA20斜率': 10.14, '起点前20周量价相关系数': 0.349, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 22.04, '起点前20周波动率': 44.67, '90%成本集中度': 18.26, '筹码集中度': 62.45, '盈利筹码比例': 74.7, '起点价格': 14.75, '起点日期': '2025-02-07'}"
002950,奥美医疗,0.97,2025-12-31,10.92,10.92,49.36,{},"{'起点当周量比': 0.83, '起点前10周均量': 470652.0, '起点前20周均量': 409852.0, '起点前40周均量': 312056.0, '成交量萎缩程度': 1.15, '起点前40周最大量': 1267445.0, '最大量对应最低价': 8.71, '最大量对应日期': '2024-11-29', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.31, '价格相对位置': 68.66, '相对高点跌幅': 10.52, '起点前20周最高价': 10.46, '起点前20周最低价': 6.95, '起点前40周最高价': 10.46, '起点前40周最低价': 6.06, '起点前20周波动幅度': 50.5, '价格相对MA5': 3.33, 'MA5值': 9.06, '价格相对MA10': 3.85, 'MA10值': 9.01, '价格相对MA20': 7.93, 'MA20值': 8.67, '价格相对MA40': 18.7, 'MA40值': 7.89, 'MA20斜率': 14.11, '起点前20周量价相关系数': 0.363, '起点当周价涨': 0, '起点当周量增': 1, '起点当周价涨量增': 0, '起点前10周波动率': 15.09, '起点前20周波动率': 41.73, '90%成本集中度': 17.26, '筹码集中度': 67.66, '盈利筹码比例': 77.63, '起点价格': 9.36, '起点日期': '2025-02-07'}"
300901,中胤时尚,0.969,2025-12-31,16.33,16.33,39.19,{},"{'起点当周量比': 1.01, '起点前10周均量': 300223.0, '起点前20周均量': 296336.0, '起点前40周均量': 317727.0, '成交量萎缩程度': 1.01, '起点前40周最大量': 776378.0, '最大量对应最低价': 13.1, '最大量对应日期': '2024-12-20', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.39, '价格相对位置': 64.16, '相对高点跌幅': 15.1, '起点前20周最高价': 16.42, '起点前20周最低价': 9.5, '起点前40周最高价': 16.42, '起点前40周最低价': 6.51, '起点前20周波动幅度': 72.84, '价格相对MA5': 8.8, 'MA5值': 12.81, '价格相对MA10': 8.14, 'MA10值': 12.89, '价格相对MA20': 16.87, 'MA20值': 11.93, '价格相对MA40': 27.34, 'MA40值': 10.95, 'MA20斜率': 11.49, '起点前20周量价相关系数': 0.422, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 11.5, '起点前20周波动率': 42.24, '90%成本集中度': 17.44, '筹码集中度': 61.83, '盈利筹码比例': 93.6, '起点价格': 13.94, '起点日期': '2025-05-09'}"
603683,晶华新材,0.968,2025-12-31,25.58,25.58,73.16,{},"{'起点当周量比': 1.2, '起点前10周均量': 655970.0, '起点前20周均量': 567098.0, '起点前40周均量': 403471.0, '成交量萎缩程度': 1.16, '起点前40周最大量': 1677978.0, '最大量对应最低价': 9.32, '最大量对应日期': '2024-11-29', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.47, '价格相对位置': 65.63, '相对高点跌幅': 13.08, '起点前20周最高价': 11.01, '起点前20周最低价': 6.82, '起点前40周最高价': 11.03, '起点前40周最低价': 6.82, '起点前20周波动幅度': 61.44, '价格相对MA5': 1.21, 'MA5值': 9.46, '价格相对MA10': 1.88, 'MA10值': 9.39, '价格相对MA20': 10.41, 'MA20值': 8.67, '价格相对MA40': 12.14, 'MA40值': 8.53, 'MA20斜率': 28.58, '起点前20周量价相关系数': 0.531, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 22.12, '起点前20周波动率': 49.27, '90%成本集中度': 19.77, '筹码集中度': 66.2, '盈利筹码比例': 79.35, '起点价格': 9.57, '起点日期': '2025-01-10'}"
300387,富邦科技,0.966,2025-12-31,8.51,8.51,24.59,{},"{'起点当周量比': 0.58, '起点前10周均量': 726968.0, '起点前20周均量': 646587.0, '起点前40周均量': 593928.0, '成交量萎缩程度': 1.12, '起点前40周最大量': 1533101.0, '最大量对应最低价': 7.78, '最大量对应日期': '2024-11-29', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.27, '价格相对位置': 67.15, '相对高点跌幅': 13.17, '起点前20周最高价': 10.25, '起点前20周最低价': 6.14, '起点前40周最高价': 10.25, '起点前40周最低价': 5.44, '起点前20周波动幅度': 66.94, '价格相对MA5': 12.18, 'MA5值': 7.93, '价格相对MA10': 5.68, 'MA10值': 8.42, '价格相对MA20': 11.03, 'MA20值': 8.02, '价格相对MA40': 24.57, 'MA40值': 7.14, 'MA20斜率': 8.89, '起点前20周量价相关系数': 0.088, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 26.23, '起点前20周波动率': 48.36, '90%成本集中度': 16.74, '筹码集中度': 57.82, '盈利筹码比例': 81.23, '起点价格': 8.9, '起点日期': '2025-02-07'}"
002026,山东威达,0.96,2025-12-31,15.05,15.05,66.29,{},"{'起点当周量比': 0.35, '起点前10周均量': 816997.0, '起点前20周均量': 655747.0, '起点前40周均量': 501328.0, '成交量萎缩程度': 1.25, '起点前40周最大量': 2289900.0, '最大量对应最低价': 10.27, '最大量对应日期': '2024-12-06', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.13, '价格相对位置': 73.67, '相对高点跌幅': 10.25, '起点前20周最高价': 11.61, '起点前20周最低价': 7.09, '起点前40周最高价': 11.61, '起点前40周最低价': 7.09, '起点前20周波动幅度': 63.75, '价格相对MA5': 7.56, 'MA5值': 9.69, '价格相对MA10': 4.0, 'MA10值': 10.02, '价格相对MA20': 11.06, 'MA20值': 9.38, '价格相对MA40': 18.84, 'MA40值': 8.77, 'MA20斜率': 15.44, '起点前20周量价相关系数': 0.357, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 21.8, '起点前20周波动率': 47.28, '90%成本集中度': 19.12, '筹码集中度': 71.36, '盈利筹码比例': 87.93, '起点价格': 10.42, '起点日期': '2025-02-07'}"
002919,名臣健康,0.96,2025-12-31,22.99,22.99,60.78,{},"{'起点当周量比': 0.49, '起点前10周均量': 543873.0, '起点前20周均量': 562796.0, '起点前40周均量': 495192.0, '成交量萎缩程度': 0.97, '起点前40周最大量': 1482085.0, '最大量对应最低价': 11.77, '最大量对应日期': '2024-08-16', '是否跌破最大量最低价': 0, '相对最大量最低价跌幅': 0, '起点量比最大量': 0.18, '价格相对位置': 55.53, '相对高点跌幅': 19.17, '起点前20周最高价': 20.34, '起点前20周最低价': 11.57, '起点前40周最高价': 20.34, '起点前40周最低价': 10.12, '起点前20周波动幅度': 75.8, '价格相对MA5': 2.89, 'MA5值': 15.98, '价格相对MA10': 0.65, 'MA10值': 16.33, '价格相对MA20': 7.61, 'MA20值': 15.28, '价格相对MA40': 17.18, 'MA40值': 14.03, 'MA20斜率': 18.09, '起点前20周量价相关系数': 0.174, '起点当周价涨': 1, '起点当周量增': 1, '起点当周价涨量增': 1, '起点前10周波动率': 25.36, '起点前20周波动率': 51.06, '90%成本集中度': 16.99, '筹码集中度': 51.74, '盈利筹码比例': 67.2, '起点价格': 16.44, '起点日期': '2025-02-07'}"
