股票代码,股票名称,匹配度,价格,日期,核心特征匹配,流通市值,1周后收益,2周后收益,4周后收益,8周后收益,扫描周
002660,茂硕电源,0.998,10.35,2025-12-05,"{'价格相对位置': 0.998, '起点当周量比': 1.0, '起点前20周波动率': 0.986, '价格相对MA20': 1.0, '成交量萎缩程度': 0.998, '是否跌破最大量最低价': 1.0}",0,-9.47,-10.24,-11.01,,2025-12-05
688597,煜邦电力,0.998,9.0,2025-12-05,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.986, '价格相对MA20': 0.998, '成交量萎缩程度': 0.995, '是否跌破最大量最低价': 1.0}",0,-3.22,-6.0,-8.78,,2025-12-05
300416,苏试试验,0.997,16.69,2025-12-05,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.996, '价格相对MA20': 0.998, '成交量萎缩程度': 0.991, '是否跌破最大量最低价': 1.0}",0,4.61,2.52,6.89,,2025-12-05
300701,森霸传感,0.997,12.36,2025-12-05,"{'价格相对位置': 0.996, '起点当周量比': 1.0, '起点前20周波动率': 0.994, '价格相对MA20': 0.997, '成交量萎缩程度': 0.991, '是否跌破最大量最低价': 1.0}",0,4.45,11.73,5.18,,2025-12-05
301056,森赫股份,0.997,11.69,2025-12-05,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.995, '价格相对MA20': 0.998, '成交量萎缩程度': 1.0, '是否跌破最大量最低价': 0.975}",0,-5.05,-4.7,43.71,,2025-12-05
000551,创元科技,0.997,11.5,2025-12-12,"{'价格相对位置': 0.997, '起点当周量比': 1.0, '起点前20周波动率': 0.98, '价格相对MA20': 0.997, '成交量萎缩程度': 0.991, '是否跌破最大量最低价': 1.0}",0,-0.96,47.57,,,2025-12-12
300701,森霸传感,0.997,12.91,2025-12-12,"{'价格相对位置': 0.999, '起点当周量比': 0.998, '起点前20周波动率': 0.994, '价格相对MA20': 1.0, '成交量萎缩程度': 0.983, '是否跌破最大量最低价': 1.0}",0,6.97,3.72,,,2025-12-12
600058,五矿发展,0.997,9.18,2025-12-12,"{'价格相对位置': 0.999, '起点当周量比': 0.997, '起点前20周波动率': 0.993, '价格相对MA20': 0.999, '成交量萎缩程度': 0.996, '是否跌破最大量最低价': 1.0}",0,7.41,14.05,,,2025-12-12
603025,大豪科技,0.997,17.47,2025-12-12,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.999, '价格相对MA20': 1.0, '成交量萎缩程度': 0.994, '是否跌破最大量最低价': 1.0}",0,-1.09,1.03,,,2025-12-12
603085,天成自控,0.997,10.96,2025-12-12,"{'价格相对位置': 1.0, '起点当周量比': 0.999, '起点前20周波动率': 0.985, '价格相对MA20': 0.999, '成交量萎缩程度': 0.995, '是否跌破最大量最低价': 1.0}",0,-0.91,3.38,,,2025-12-12
300154,瑞凌股份,0.998,9.25,2025-12-19,"{'价格相对位置': 0.999, '起点当周量比': 1.0, '起点前20周波动率': 0.99, '价格相对MA20': 0.999, '成交量萎缩程度': 0.998, '是否跌破最大量最低价': 1.0}",0,3.89,6.49,,,2025-12-19
000586,汇源通信,0.997,13.87,2025-12-19,"{'价格相对位置': 1.0, '起点当周量比': 1.0, '起点前20周波动率': 0.994, '价格相对MA20': 1.0, '成交量萎缩程度': 0.999, '是否跌破最大量最低价': 0.975}",0,0.65,-2.45,,,2025-12-19
000679,大连友谊,0.997,8.89,2025-12-19,"{'价格相对位置': 0.995, '起点当周量比': 0.999, '起点前20周波动率': 0.996, '价格相对MA20': 1.0, '成交量萎缩程度': 0.999, '是否跌破最大量最低价': 0.975}",0,-13.61,-19.91,,,2025-12-19
002674,兴业科技,0.997,13.83,2025-12-19,"{'价格相对位置': 0.999, '起点当周量比': 0.999, '起点前20周波动率': 0.99, '价格相对MA20': 0.996, '成交量萎缩程度': 0.989, '是否跌破最大量最低价': 1.0}",0,0.29,8.03,,,2025-12-19
