序号,扫描日期,排名,股票代码,股票名称,匹配度,买入日期,买入价格
1,2025-01-02,1,300463,迈克生物,0.95,2025-01-02,12.68
2,2025-01-02,2,300183,东软载波,0.947,2025-01-02,17.6
3,2025-01-02,3,002635,安洁科技,0.943,2025-01-02,15.23
4,2025-01-06,1,300463,迈克生物,0.95,2025-01-06,12.85
5,2025-01-06,2,300183,东软载波,0.947,2025-01-06,14.88
6,2025-01-06,3,002635,安洁科技,0.943,2025-01-06,14.51
7,2025-01-13,1,300463,迈克生物,0.95,2025-01-13,12.17
8,2025-01-13,2,300183,东软载波,0.947,2025-01-13,14.32
9,2025-01-13,3,002635,安洁科技,0.943,2025-01-13,14.08
10,2025-01-20,1,300463,迈克生物,0.95,2025-01-20,12.59
11,2025-01-20,2,300183,东软载波,0.947,2025-01-20,15.93
12,2025-01-20,3,002635,安洁科技,0.943,2025-01-20,15.22
13,2025-01-27,1,300463,迈克生物,0.95,2025-01-27,12.25
14,2025-01-27,2,300183,东软载波,0.947,2025-01-27,15.99
15,2025-01-27,3,002635,安洁科技,0.943,2025-01-27,15.01
16,2025-02-05,1,300463,迈克生物,0.95,2025-02-05,12.32
17,2025-02-05,2,300183,东软载波,0.947,2025-02-05,16.23
18,2025-02-05,3,002635,安洁科技,0.943,2025-02-05,15.13
19,2025-02-10,1,300463,迈克生物,0.95,2025-02-10,12.83
20,2025-02-10,2,300183,东软载波,0.947,2025-02-10,17.55
21,2025-02-10,3,002635,安洁科技,0.943,2025-02-10,16.0
22,2025-02-17,1,300463,迈克生物,0.95,2025-02-17,13.32
23,2025-02-17,2,002655,共达电声,0.948,2025-02-17,13.69
24,2025-02-17,3,300183,东软载波,0.947,2025-02-17,17.39
25,2025-02-24,1,002096,易普力,0.958,2025-02-24,11.02
26,2025-02-24,2,300463,迈克生物,0.95,2025-02-24,13.0
27,2025-02-24,3,002655,共达电声,0.948,2025-02-24,13.93
28,2025-03-03,1,002096,易普力,0.958,2025-03-03,11.34
29,2025-03-03,2,300463,迈克生物,0.95,2025-03-03,12.82
30,2025-03-03,3,002655,共达电声,0.948,2025-03-03,12.57
31,2025-03-10,1,002096,易普力,0.958,2025-03-10,11.5
32,2025-03-10,2,300463,迈克生物,0.95,2025-03-10,13.68
33,2025-03-10,3,002655,共达电声,0.948,2025-03-10,12.71
34,2025-03-17,1,002096,易普力,0.958,2025-03-17,11.57
35,2025-03-17,2,300463,迈克生物,0.95,2025-03-17,14.94
36,2025-03-17,3,002655,共达电声,0.948,2025-03-17,12.72
37,2025-03-24,1,002096,易普力,0.958,2025-03-24,11.64
38,2025-03-24,2,300463,迈克生物,0.95,2025-03-24,13.44
39,2025-03-24,3,002655,共达电声,0.948,2025-03-24,14.41
40,2025-03-31,1,002096,易普力,0.958,2025-03-31,11.12
41,2025-03-31,2,300463,迈克生物,0.95,2025-03-31,12.93
42,2025-03-31,3,002655,共达电声,0.948,2025-03-31,16.54
43,2025-04-07,1,002096,易普力,0.958,2025-04-07,10.58
44,2025-04-07,2,300463,迈克生物,0.95,2025-04-07,11.25
45,2025-04-07,3,002655,共达电声,0.948,2025-04-07,12.01
46,2025-04-14,1,002096,易普力,0.958,2025-04-14,11.85
47,2025-04-14,2,300463,迈克生物,0.95,2025-04-14,11.95
48,2025-04-14,3,002655,共达电声,0.948,2025-04-14,12.38
49,2025-04-21,1,002096,易普力,0.958,2025-04-21,12.23
