股票代码,股票名称,匹配度,买入价格,扫描日期
000006,深振业Ａ,1.0,7.25,2025-01-02
000012,南  玻Ａ,1.0,5.07,2025-01-02
000014,沙河股份,1.0,10.93,2025-01-02
000017,深中华A,1.0,6.38,2025-01-02
000020,深华发Ａ,1.0,12.4,2025-01-02
000006,深振业Ａ,1.0,6.7,2025-01-06
000012,南  玻Ａ,1.0,5.05,2025-01-06
000014,沙河股份,1.0,10.19,2025-01-06
000017,深中华A,1.0,6.27,2025-01-06
000020,深华发Ａ,1.0,11.62,2025-01-06
000011,深物业A,1.0,8.22,2025-01-13
000006,深振业Ａ,1.0,6.63,2025-01-13
000012,南  玻Ａ,1.0,4.86,2025-01-13
000014,沙河股份,1.0,9.88,2025-01-13
000019,深粮控股,1.0,5.99,2025-01-13
000011,深物业A,1.0,8.56,2025-01-20
000006,深振业Ａ,1.0,7.48,2025-01-20
000007,全新好,1.0,7.19,2025-01-20
000012,南  玻Ａ,1.0,4.86,2025-01-20
000014,沙河股份,1.0,10.45,2025-01-20
000011,深物业A,1.0,8.1,2025-01-27
000006,深振业Ａ,1.0,6.77,2025-01-27
000007,全新好,1.0,6.95,2025-01-27
000012,南  玻Ａ,1.0,4.91,2025-01-27
000014,沙河股份,1.0,10.02,2025-01-27
000011,深物业A,1.0,8.15,2025-02-05
000006,深振业Ａ,1.0,6.75,2025-02-05
000007,全新好,1.0,7.0,2025-02-05
000012,南  玻Ａ,1.0,4.86,2025-02-05
000014,沙河股份,1.0,10.03,2025-02-05
000011,深物业A,1.0,8.48,2025-02-10
000006,深振业Ａ,1.0,7.28,2025-02-10
000007,全新好,1.0,6.91,2025-02-10
000012,南  玻Ａ,1.0,4.96,2025-02-10
000014,沙河股份,1.0,10.74,2025-02-10
000011,深物业A,1.0,8.59,2025-02-17
000006,深振业Ａ,1.0,7.08,2025-02-17
000004,*ST国华,1.0,13.77,2025-02-17
000007,全新好,1.0,6.66,2025-02-17
000012,南  玻Ａ,1.0,4.94,2025-02-17
000011,深物业A,1.0,8.36,2025-02-24
000006,深振业Ａ,1.0,6.52,2025-02-24
000004,*ST国华,1.0,12.78,2025-02-24
000007,全新好,1.0,6.61,2025-02-24
000012,南  玻Ａ,1.0,4.91,2025-02-24
000011,深物业A,1.0,8.28,2025-03-03
000006,深振业Ａ,1.0,6.44,2025-03-03
000004,*ST国华,1.0,12.18,2025-03-03
000007,全新好,1.0,6.33,2025-03-03
000012,南  玻Ａ,1.0,4.89,2025-03-03
000011,深物业A,1.0,8.22,2025-03-10
000006,深振业Ａ,1.0,6.44,2025-03-10
000004,*ST国华,1.0,12.15,2025-03-10
000007,全新好,1.0,6.39,2025-03-10
000012,南  玻Ａ,1.0,4.85,2025-03-10
000011,深物业A,1.0,8.53,2025-03-17
000006,深振业Ａ,1.0,6.61,2025-03-17
000004,*ST国华,1.0,12.43,2025-03-17
000007,全新好,1.0,6.37,2025-03-17
000012,南  玻Ａ,1.0,4.94,2025-03-17
000011,深物业A,1.0,8.29,2025-03-24
000006,深振业Ａ,1.0,6.48,2025-03-24
000004,*ST国华,1.0,10.5,2025-03-24
000007,全新好,1.0,6.0,2025-03-24
000012,南  玻Ａ,1.0,4.91,2025-03-24
000011,深物业A,1.0,8.32,2025-03-31
000006,深振业Ａ,1.0,7.29,2025-03-31
000004,*ST国华,1.0,9.74,2025-03-31
000007,全新好,1.0,6.09,2025-03-31
000012,南  玻Ａ,1.0,4.86,2025-03-31
000011,深物业A,1.0,7.68,2025-04-07
000006,深振业Ａ,1.0,6.27,2025-04-07
000004,*ST国华,1.0,8.84,2025-04-07
000010,美丽生态,1.0,2.54,2025-04-07
000007,全新好,1.0,5.58,2025-04-07
