股票代码,股票名称,扫描日期,匹配度,买点价格
000006,深振业Ａ,2025-01-02,1.0,7.25
000006,深振业Ａ,2025-01-06,1.0,6.7
000006,深振业Ａ,2025-01-13,1.0,6.63
000006,深振业Ａ,2025-01-20,1.0,7.48
000006,深振业Ａ,2025-01-27,1.0,6.77
000006,深振业Ａ,2025-02-05,1.0,6.75
000006,深振业Ａ,2025-02-10,1.0,7.28
000006,深振业Ａ,2025-02-17,1.0,7.08
000006,深振业Ａ,2025-02-24,1.0,6.52
000006,深振业Ａ,2025-03-03,1.0,6.44
000006,深振业Ａ,2025-03-10,1.0,6.44
000006,深振业Ａ,2025-03-17,1.0,6.61
000006,深振业Ａ,2025-03-24,1.0,6.48
000006,深振业Ａ,2025-03-31,1.0,7.29
000006,深振业Ａ,2025-04-07,1.0,6.27
000006,深振业Ａ,2025-04-14,1.0,6.34
000006,深振业Ａ,2025-04-21,1.0,6.39
000006,深振业Ａ,2025-04-28,1.0,6.18
000006,深振业Ａ,2025-05-06,1.0,6.46
000006,深振业Ａ,2025-05-12,1.0,6.47
000006,深振业Ａ,2025-05-19,1.0,6.96
000006,深振业Ａ,2025-05-26,1.0,6.89
000006,深振业Ａ,2025-06-03,1.0,6.74
000006,深振业Ａ,2025-06-09,1.0,6.8
000006,深振业Ａ,2025-06-16,1.0,6.79
000006,深振业Ａ,2025-06-23,1.0,6.64
000006,深振业Ａ,2025-06-30,1.0,6.45
000006,深振业Ａ,2025-07-07,1.0,6.35
000006,深振业Ａ,2025-07-14,1.0,6.36
000006,深振业Ａ,2025-07-21,1.0,6.26
000006,深振业Ａ,2025-07-28,1.0,6.4
000006,深振业Ａ,2025-08-04,1.0,6.16
000006,深振业Ａ,2025-08-11,1.0,6.78
000006,深振业Ａ,2025-08-18,1.0,7.7
000006,深振业Ａ,2025-08-25,1.0,7.33
000006,深振业Ａ,2025-09-01,1.0,7.21
000006,深振业Ａ,2025-09-08,1.0,7.62
000006,深振业Ａ,2025-09-15,1.0,7.48
000006,深振业Ａ,2025-09-22,1.0,7.92
000006,深振业Ａ,2025-09-29,1.0,9.35
000006,深振业Ａ,2025-10-09,1.0,10.85
000006,深振业Ａ,2025-10-13,1.0,13.13
000006,深振业Ａ,2025-10-20,1.0,12.02
000006,深振业Ａ,2025-10-27,1.0,13.3
000006,深振业Ａ,2025-11-03,1.0,12.37
000006,深振业Ａ,2025-11-10,1.0,11.9
000006,深振业Ａ,2025-11-17,1.0,11.58
000006,深振业Ａ,2025-11-24,1.0,10.42
000006,深振业Ａ,2025-12-01,1.0,10.43
000006,深振业Ａ,2025-12-08,1.0,10.21
000006,深振业Ａ,2025-12-15,1.0,9.82
000006,深振业Ａ,2025-12-22,1.0,9.78
000006,深振业Ａ,2025-12-29,1.0,9.8
000010,美丽生态,2025-06-03,1.0,2.96
000010,美丽生态,2025-06-09,1.0,3.29
000010,美丽生态,2025-06-16,1.0,3.14
000010,美丽生态,2025-06-23,1.0,2.92
000010,美丽生态,2025-06-30,1.0,3.01
000010,美丽生态,2025-07-07,1.0,2.98
000010,美丽生态,2025-07-14,1.0,3.9
000010,美丽生态,2025-07-21,1.0,3.5
000010,美丽生态,2025-07-28,1.0,3.46
000010,美丽生态,2025-08-04,1.0,3.93
000010,美丽生态,2025-08-11,1.0,5.1
000010,美丽生态,2025-08-18,1.0,4.66
000010,美丽生态,2025-08-25,1.0,4.84
000010,美丽生态,2025-09-01,1.0,4.87
000010,美丽生态,2025-09-08,1.0,4.63
000010,美丽生态,2025-09-15,1.0,4.83
000010,美丽生态,2025-09-22,1.0,4.47
000010,美丽生态,2025-09-29,1.0,4.3
000010,美丽生态,2025-10-09,1.0,4.12
000010,美丽生态,2025-10-13,1.0,4.07
000010,美丽生态,2025-10-20,1.0,4.15
000010,美丽生态,2025-10-27,1.0,3.85
000010,美丽生态,2025-11-03,1.0,4.05
000010,美丽生态,2025-11-10,1.0,3.94
000010,美丽生态,2025-11-17,1.0,4.06
000010,美丽生态,2025-11-24,1.0,3.8
000010,美丽生态,2025-12-01,1.0,3.93
000010,美丽生态,2025-12-08,1.0,3.71
000010,美丽生态,2025-12-15,1.0,3.53
000010,美丽生态,2025-12-22,1.0,3.63
000010,美丽生态,2025-12-29,1.0,3.58
000011,深物业A,2025-02-24,1.0,8.36
000011,深物业A,2025-03-03,1.0,8.28
000011,深物业A,2025-03-10,1.0,8.22
000011,深物业A,2025-03-17,1.0,8.53
000011,深物业A,2025-03-24,1.0,8.29
000011,深物业A,2025-03-31,1.0,8.32
000011,深物业A,2025-04-07,1.0,7.68
000011,深物业A,2025-04-14,1.0,8.01
000011,深物业A,2025-04-21,1.0,8.22
000011,深物业A,2025-04-28,1.0,8.06
000011,深物业A,2025-05-06,1.0,8.31
000011,深物业A,2025-05-12,1.0,8.33
000011,深物业A,2025-05-19,1.0,8.71
000011,深物业A,2025-05-26,1.0,8.37
000011,深物业A,2025-06-03,1.0,8.58
000011,深物业A,2025-06-09,1.0,8.59
000011,深物业A,2025-06-16,1.0,8.49
000011,深物业A,2025-06-23,1.0,8.27
000011,深物业A,2025-06-30,1.0,8.45
000011,深物业A,2025-07-07,1.0,8.62
000011,深物业A,2025-07-14,1.0,8.81
000011,深物业A,2025-07-21,1.0,8.73
000011,深物业A,2025-07-28,1.0,8.78
000011,深物业A,2025-08-04,1.0,8.48
000011,深物业A,2025-08-11,1.0,9.56
000011,深物业A,2025-08-18,1.0,10.18
000011,深物业A,2025-08-25,1.0,9.54
000011,深物业A,2025-09-01,1.0,9.13
000011,深物业A,2025-09-08,1.0,9.12
000011,深物业A,2025-09-15,1.0,9.17
000011,深物业A,2025-09-22,1.0,9.02
000011,深物业A,2025-09-29,1.0,9.09
000011,深物业A,2025-10-09,1.0,9.13
000011,深物业A,2025-10-13,1.0,9.85
000011,深物业A,2025-10-20,1.0,9.71
000011,深物业A,2025-10-27,1.0,10.05
000011,深物业A,2025-11-03,1.0,10.73
000011,深物业A,2025-11-10,1.0,10.11
000011,深物业A,2025-11-17,1.0,10.43
000011,深物业A,2025-11-24,1.0,9.66
000011,深物业A,2025-12-01,1.0,9.68
000011,深物业A,2025-12-08,1.0,9.38
000011,深物业A,2025-12-15,1.0,9.03
000011,深物业A,2025-12-22,1.0,9.08
000011,深物业A,2025-12-29,1.0,8.93
000012,南  玻Ａ,2025-01-02,1.0,5.07
000012,南  玻Ａ,2025-01-06,1.0,5.05
000012,南  玻Ａ,2025-01-13,1.0,4.86
000012,南  玻Ａ,2025-01-20,1.0,4.86
000012,南  玻Ａ,2025-01-27,1.0,4.91
000012,南  玻Ａ,2025-02-05,1.0,4.86
000012,南  玻Ａ,2025-02-10,1.0,4.96
000012,南  玻Ａ,2025-02-17,1.0,4.94
000012,南  玻Ａ,2025-02-24,1.0,4.91
000012,南  玻Ａ,2025-03-03,1.0,4.89
000012,南  玻Ａ,2025-03-10,1.0,4.85
000012,南  玻Ａ,2025-03-17,1.0,4.94
000012,南  玻Ａ,2025-03-24,1.0,4.91
000012,南  玻Ａ,2025-03-31,1.0,4.86
000012,南  玻Ａ,2025-04-07,1.0,4.51
000012,南  玻Ａ,2025-04-14,1.0,4.77
000012,南  玻Ａ,2025-04-21,1.0,4.75
000012,南  玻Ａ,2025-04-28,1.0,4.73
000012,南  玻Ａ,2025-05-06,1.0,4.72
000012,南  玻Ａ,2025-05-12,1.0,4.73
000012,南  玻Ａ,2025-05-19,1.0,4.71
000012,南  玻Ａ,2025-05-26,1.0,4.58
000012,南  玻Ａ,2025-06-03,1.0,4.58
000012,南  玻Ａ,2025-06-09,1.0,4.62
000012,南  玻Ａ,2025-06-16,1.0,4.52
000012,南  玻Ａ,2025-06-23,1.0,4.48
000012,南  玻Ａ,2025-06-30,1.0,4.55
000012,南  玻Ａ,2025-07-07,1.0,4.68
000012,南  玻Ａ,2025-07-14,1.0,4.81
000012,南  玻Ａ,2025-07-21,1.0,4.88
000012,南  玻Ａ,2025-07-28,1.0,4.95
000012,南  玻Ａ,2025-08-04,1.0,4.75
000012,南  玻Ａ,2025-08-11,1.0,4.79
000012,南  玻Ａ,2025-08-18,1.0,4.78
000012,南  玻Ａ,2025-08-25,1.0,4.87
000012,南  玻Ａ,2025-09-01,1.0,4.75
000012,南  玻Ａ,2025-09-08,1.0,4.8
000012,南  玻Ａ,2025-09-15,1.0,4.75
000012,南  玻Ａ,2025-09-22,1.0,4.67
000012,南  玻Ａ,2025-09-29,1.0,4.67
000012,南  玻Ａ,2025-10-09,1.0,4.66
000012,南  玻Ａ,2025-10-13,1.0,4.66
000012,南  玻Ａ,2025-10-20,1.0,4.64
000012,南  玻Ａ,2025-10-27,1.0,4.64
000012,南  玻Ａ,2025-11-03,1.0,4.77
000012,南  玻Ａ,2025-11-10,1.0,4.93
000012,南  玻Ａ,2025-11-17,1.0,4.94
000012,南  玻Ａ,2025-11-24,1.0,4.61
000012,南  玻Ａ,2025-12-01,1.0,4.73
000012,南  玻Ａ,2025-12-08,1.0,4.72
000012,南  玻Ａ,2025-12-15,1.0,4.45
000012,南  玻Ａ,2025-12-22,1.0,4.47
000012,南  玻Ａ,2025-12-29,1.0,4.49
000019,深粮控股,2025-02-24,1.0,6.37
000019,深粮控股,2025-03-03,1.0,6.29
000019,深粮控股,2025-03-10,1.0,6.3
000019,深粮控股,2025-03-17,1.0,6.46
000019,深粮控股,2025-03-24,1.0,6.31
000019,深粮控股,2025-03-31,1.0,6.27
000019,深粮控股,2025-04-07,1.0,6.7
000019,深粮控股,2025-04-14,1.0,7.06
000019,深粮控股,2025-04-21,1.0,6.74
000019,深粮控股,2025-04-28,1.0,6.41
000019,深粮控股,2025-05-06,1.0,6.68
000019,深粮控股,2025-05-12,1.0,6.58
000019,深粮控股,2025-05-19,1.0,6.73
000019,深粮控股,2025-05-26,1.0,6.56
000020,深华发Ａ,2025-01-02,1.0,12.4
000020,深华发Ａ,2025-01-06,1.0,11.62
000020,深华发Ａ,2025-01-13,1.0,11.67
000020,深华发Ａ,2025-01-20,1.0,13.32
000020,深华发Ａ,2025-01-27,1.0,12.73
000020,深华发Ａ,2025-02-05,1.0,13.12
000020,深华发Ａ,2025-02-10,1.0,13.42
000020,深华发Ａ,2025-02-17,1.0,13.2
000020,深华发Ａ,2025-02-24,1.0,13.15
000020,深华发Ａ,2025-03-03,1.0,12.53
