日期,开盘,最高,最低,收盘,成交量,股票代码,成交额
2015-09-02,25.8,29.56,24.38,26.48,2598647,,71288496.0
2015-09-07,26.02,28.82,24.51,25.32,6031981,,158845008.0
2015-09-08,24.58,27.85,24.31,27.85,4313996,,115679024.0
2015-09-09,28.5,30.64,28.36,30.63,6118874,,183510560.0
2015-09-10,30.62,30.8,29.72,29.95,2834913,,85729144.0
2015-09-11,30.0,30.99,29.4,30.34,2119390,,63772324.0
2015-09-14,30.78,32.5,28.44,28.72,3456612,,105516808.0
2015-09-15,27.2,29.93,26.92,28.6,2131412,,61558888.0
2015-09-16,29.17,31.46,28.5,31.46,2300423,,68967328.0
2015-09-17,31.96,34.16,31.59,32.25,4281902,,141079488.0
2015-09-18,33.0,34.65,31.5,34.58,4439036,,146626912.0
2015-09-21,33.97,36.25,33.53,34.83,4658461,,164388688.0
2015-09-22,34.33,35.95,32.94,34.3,3586787,,124137520.0
2015-09-23,33.67,34.44,32.0,32.68,2678828,,88747584.0
2015-09-24,33.16,34.6,32.51,33.07,2700151,,90107912.0
2015-09-25,32.7,34.3,31.9,32.14,3073194,,101473696.0
2015-09-28,32.4,35.3,32.0,35.28,4326959,,147637264.0
2015-09-29,34.52,37.57,34.22,36.01,4902674,,178531504.0
2015-09-30,36.01,36.66,34.34,35.5,2778541,,98320512.0
2015-10-08,36.49,38.23,36.11,37.17,3195636,,119055088.0
2015-10-09,37.17,37.17,35.59,36.0,2644551,,95790008.0
2015-10-12,35.02,38.34,35.02,38.07,8061650,,294738880.0
2015-10-13,37.3,37.31,35.67,36.45,4720310,,172598752.0
2015-10-14,38.0,39.5,36.0,36.75,9921240,,372594304.0
2015-10-15,35.0,36.79,34.62,36.2,7797997,,278304704.0
2015-10-16,36.5,36.62,35.02,35.5,4487745,,159680192.0
2015-10-19,35.5,37.29,35.0,36.91,7317213,,265596816.0
2015-10-20,36.98,37.1,35.51,36.08,5558343,,200311840.0
2015-10-21,36.48,38.13,32.47,33.78,8983497,,324095296.0
2015-10-22,33.0,35.0,32.08,34.99,6985386,,235868320.0
2015-10-23,34.99,37.6,33.7,36.62,6373587,,225998816.0
2015-10-26,37.09,38.4,36.66,37.2,5746913,,216061584.0
2015-10-27,37.15,39.38,35.0,39.31,7971536,,300598720.0
