日期,开盘,收盘,最高,最低,成交量,成交额
2024-10-15,10.0,9.6,10.0,9.59,987944683,964894720.0
2024-10-16,9.48,9.53,9.65,9.43,756277022,721479936.0
2024-10-17,9.55,9.43,9.65,9.43,339752768,323944544.0
2024-10-18,9.43,9.78,10.0,9.4,442695413,425277952.0
2024-10-21,9.78,9.84,9.95,9.72,344148699,338511200.0
2024-10-22,9.86,9.91,9.94,9.81,416654934,411708864.0
2024-10-23,9.94,9.96,10.05,9.86,332727738,331591104.0
2024-10-24,9.93,9.82,9.93,9.8,374026688,368403360.0
2024-10-25,9.84,9.94,10.02,9.83,483400416,479732032.0
2024-10-28,9.96,9.99,9.99,9.85,886021696,880608896.0
2024-10-29,10.01,9.89,10.04,9.87,751165542,748300160.0
2024-10-30,9.87,9.82,9.91,9.76,1539637888,1512806528.0
2024-10-31,9.81,9.85,9.93,9.76,1037457472,1023829568.0
2024-11-01,9.81,9.83,9.93,9.79,988214616,975321600.0
2024-11-04,9.84,9.95,9.96,9.81,625214400,617299712.0
2024-11-05,9.95,10.23,10.25,9.91,981651401,990803200.0
2024-11-06,10.2,10.19,10.35,10.14,1237633408,1267672320.0
2024-11-07,10.16,10.47,10.47,10.09,1319609833,1355394432.0
2024-11-08,10.62,10.4,10.65,10.35,1099970895,1150914816.0
2024-11-11,10.25,10.49,10.5,10.23,896242684,928913152.0
2024-11-12,10.49,10.39,10.61,10.29,2394314290,2504476928.0
2024-11-13,10.32,10.4,10.44,10.3,2007272316,2081204864.0
2024-11-14,10.38,10.21,10.41,10.18,1760496602,1813782528.0
2024-11-15,10.19,10.01,10.22,10.0,1564329543,1586253568.0
2024-11-18,10.06,9.93,10.13,9.87,1142165290,1142192512.0
2024-11-19,9.97,10.01,10.02,9.79,956915809,948461632.0
2024-11-20,9.97,10.05,10.1,9.97,866306802,868213248.0
2024-11-21,10.04,10.08,10.1,10.01,804324480,808392576.0
2024-11-22,10.08,9.76,10.08,9.75,986445056,979440832.0
2024-11-25,9.77,9.7,9.81,9.59,776778816,753638592.0
2024-11-26,9.68,9.66,9.76,9.64,717123534,695416576.0
2024-11-27,9.64,9.81,9.83,9.58,828688437,803534720.0
2024-11-28,9.82,9.75,9.84,9.72,863109942,843942656.0
2024-11-29,9.73,9.86,9.96,9.73,873492480,859592320.0
2024-12-02,9.83,9.95,9.98,9.83,731257472,725670016.0
2024-12-03,9.95,9.95,10.0,9.89,676230207,671526080.0
2024-12-04,9.92,9.9,9.97,9.86,782693696,775667392.0
2024-12-05,9.89,9.88,9.92,9.84,686583444,678480704.0
2024-12-06,9.88,10.01,10.08,9.87,814497792,811966912.0
2024-12-09,10.01,9.99,10.07,9.93,659849856,659867648.0
2024-12-11,10.06,10.07,10.1,10.03,654825664,659641600.0
2024-12-12,10.06,10.16,10.17,10.04,818180759,826624320.0
2024-12-13,10.12,9.96,10.12,9.92,836863856,835726912.0
2024-12-16,9.91,9.85,9.95,9.83,660371228,652326656.0
2024-12-17,9.84,9.85,9.94,9.83,790453696,780887616.0
2024-12-18,9.86,9.89,9.94,9.86,699327351,692361408.0
2024-12-19,9.84,9.93,9.96,9.79,775061568,765816064.0
2024-12-20,9.94,9.91,9.98,9.89,643802496,639347840.0
2024-12-23,9.9,9.89,9.97,9.87,681284864,676713088.0
2024-12-24,9.89,9.98,10.0,9.88,699142931,695241856.0
2024-12-25,9.99,9.97,10.03,9.93,695761088,693881280.0
2024-12-26,9.95,10.0,10.01,9.94,551365248,550866176.0
2024-12-27,10.0,9.99,10.07,9.96,762772096,762752384.0
2024-12-30,9.98,10.01,10.04,9.97,1376720878,1377927552.0
2024-12-31,10.01,9.84,10.03,9.83,1026259008,1020683904.0
2025-01-02,9.85,9.56,9.86,9.49,1130385280,1094907648.0
2025-01-03,9.56,9.44,9.6,9.41,1065184127,1013521152.0
2025-01-06,9.45,9.4,9.45,9.35,879862656,826659328.0
2025-01-07,9.41,9.47,9.48,9.36,732859217,689465920.0
2025-01-08,9.45,9.45,9.52,9.29,944577419,887665984.0
2025-01-09,9.4,9.43,9.48,9.39,867511460,819259008.0
2025-01-10,9.44,9.33,9.46,9.32,710655823,667793664.0
2025-01-13,9.27,9.29,9.34,9.24,729646016,677804288.0
2025-01-14,9.3,9.55,9.57,9.29,719527808,679861696.0
2025-01-15,9.52,9.49,9.54,9.47,744391552,707912064.0
2025-01-16,9.52,9.51,9.63,9.44,790755072,752515776.0
2025-01-17,9.47,9.54,9.6,9.46,522816063,498313408.0
2025-01-20,9.6,9.59,9.67,9.56,650017204,625372736.0
2025-01-21,9.63,9.62,9.65,9.55,755978816,725724416.0
2025-01-22,9.61,9.53,9.61,9.48,496750848,472641920.0
2025-01-23,9.58,9.53,9.71,9.52,602782784,579645696.0
2025-01-24,9.54,9.63,9.65,9.51,700683712,672797248.0
2025-01-27,9.65,9.55,9.66,9.55,752869248,723742080.0
2025-02-05,9.59,9.53,9.62,9.51,629007269,600979200.0
2025-02-06,9.52,9.68,9.69,9.52,654399872,629056768.0
2025-02-07,9.68,9.82,9.9,9.66,736235446,721233536.0
2025-02-10,9.85,9.87,9.88,9.8,601785725,592292608.0
2025-02-11,9.88,9.83,9.89,9.78,571735872,561278784.0
2025-02-12,9.83,9.92,9.94,9.78,611585655,601954880.0
2025-02-13,9.91,9.88,9.97,9.88,696159680,690612864.0
2025-02-14,9.86,9.96,9.98,9.85,692642240,687001984.0
2025-02-17,9.97,9.99,10.01,9.92,707875520,705763712.0
2025-02-18,9.98,9.89,10.02,9.84,749012096,745966272.0
2025-02-19,9.89,9.97,9.97,9.85,649956800,645403584.0
2025-02-20,9.95,9.96,9.98,9.91,597723392,594571904.0
2025-02-21,9.97,10.1,10.11,9.95,673967040,677025856.0
2025-02-24,10.1,10.06,10.13,10.01,677575680,683042624.0
2025-02-25,10.0,9.97,10.05,9.93,598679635,599343488.0
2025-02-26,9.97,10.06,10.06,9.96,584960832,585530304.0
2025-02-27,10.04,10.06,10.08,9.96,586581504,587309696.0
2025-02-28,10.01,9.84,10.04,9.82,695671168,691993472.0
2025-03-03,9.84,9.83,9.96,9.79,733078907,724954496.0
2025-03-04,9.8,9.83,9.85,9.76,530181216,520008384.0
2025-03-05,9.84,9.87,9.89,9.8,656743616,645667264.0
2025-03-06,9.92,10.02,10.05,9.92,725667264,725335936.0
2025-03-07,9.99,10.0,10.06,9.98,665815552,667097920.0
2025-03-10,10.0,9.97,10.02,9.91,623824960,620617472.0
2025-03-11,9.88,9.98,9.99,9.85,598815936,594765440.0
2025-03-12,10.02,9.98,10.05,9.95,548752320,548579968.0
2025-03-13,9.99,9.92,9.99,9.86,649260096,644388096.0
2025-03-14,9.9,10.13,10.14,9.9,739622720,744839616.0
2025-03-17,10.16,10.12,10.18,10.1,639628992,648321280.0
2025-03-18,10.15,10.15,10.19,10.13,608717632,618010944.0
2025-03-19,10.13,10.15,10.18,10.09,667202368,676228992.0
2025-03-20,10.14,10.07,10.14,10.05,861641280,869895424.0
2025-03-21,10.04,9.9,10.08,9.87,693616498,691409664.0
2025-03-24,9.89,9.93,9.95,9.85,548905856,544339328.0
2025-03-25,9.92,9.93,9.96,9.9,486543936,482871680.0
2025-03-26,9.91,9.89,9.96,9.88,674640448,668633536.0
2025-03-27,9.87,9.92,9.98,9.83,564794781,560330944.0
2025-03-28,9.92,9.87,9.93,9.84,652805312,644497856.0
2025-03-31,9.85,9.79,9.89,9.73,623056933,610674112.0
2025-04-01,9.8,9.79,9.86,9.78,546615360,536353344.0
2025-04-02,9.8,9.79,9.84,9.77,527019071,516651616.0
2025-04-03,9.72,9.71,9.79,9.68,591683264,575260928.0
2025-04-07,9.2,8.9,9.4,8.82,523448416,474683936.0
2025-04-08,8.89,9.04,9.05,8.89,257798006,231584064.0
2025-04-09,8.95,9.15,9.19,8.87,594682482,539739840.0
2025-04-10,9.27,9.31,9.39,9.24,515270441,480065632.0
2025-04-11,9.25,9.36,9.41,9.25,470957855,438726112.0
2025-04-14,9.4,9.4,9.45,9.39,506344750,477101408.0
2025-04-15,9.4,9.4,9.42,9.35,441294247,413348832.0
2025-04-16,9.37,9.39,9.4,9.29,562806205,524983200.0
2025-04-17,9.36,9.39,9.44,9.36,417074976,392039168.0
2025-04-18,9.38,9.4,9.41,9.35,521630741,489147424.0
2025-04-21,9.43,9.46,9.48,9.38,458939648,433855392.0
2025-04-22,9.44,9.46,9.5,9.44,502163578,475456992.0
2025-04-23,9.48,9.47,9.53,9.45,508489659,481827232.0
2025-04-24,9.47,9.47,9.53,9.43,404741916,383600832.0
2025-04-25,9.48,9.47,9.52,9.46,417183662,395835744.0
