日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-09-29,,249.99,217.14,259.99,210.2,7283819,1610848128.0,,,,
2022-09-30,,213.0,204.36,218.0,204.12,4172443,877148160.0,,,,
2022-10-10,,200.45,193.68,201.0,192.3,2430844,474595328.0,,,,
2022-10-11,,193.0,199.0,204.49,193.0,2004607,396569056.0,,,,
2022-10-12,,198.3,197.28,199.9,190.11,1953090,379278976.0,,,,
2022-10-13,,197.36,201.28,204.2,197.36,2108571,425516480.0,,,,
2022-10-14,,205.0,202.33,206.49,200.01,1938625,392691584.0,,,,
2022-10-17,,202.0,201.45,204.36,199.1,1406357,282843136.0,,,,
2022-10-18,,203.9,208.8,214.3,202.1,2331792,485543104.0,,,,
2022-10-19,,207.0,208.79,215.45,206.0,1853409,391925632.0,,,,
2022-10-20,,206.99,206.67,213.8,203.0,1674912,347921152.0,,,,
2022-10-21,,206.64,213.64,214.96,206.6,1785732,378648512.0,,,,
2022-10-24,,214.0,212.79,217.95,210.44,1516860,324627904.0,,,,
2022-10-25,,211.0,212.88,214.09,206.88,997052,210483760.0,,,,
2022-10-26,,213.88,210.78,216.46,210.09,1336330,284530368.0,,,,
2022-10-27,,210.88,208.3,212.88,206.01,1188267,248420368.0,,,,
2022-10-28,,209.84,198.55,209.9,198.01,1274915,258927920.0,,,,
2022-10-31,,199.99,199.11,202.0,197.0,819018,163552752.0,,,,
2022-11-01,,199.01,203.24,204.3,198.02,868168,175299152.0,,,,
2022-11-02,,202.5,208.75,213.18,201.88,1273190,262649264.0,,,,
2022-11-03,,206.96,210.76,212.55,206.6,874606,183797312.0,,,,
2022-11-04,,212.16,223.26,227.41,211.0,1989270,441484128.0,,,,
2022-11-07,,226.0,220.01,228.38,218.25,1962912,435137920.0,,,,
2022-11-08,,219.92,222.34,226.0,218.69,1173597,260571424.0,,,,
2022-11-09,,221.68,218.01,224.88,218.01,913837,201986528.0,,,,
2022-11-10,,216.0,214.0,219.5,214.0,1038252,224415408.0,,,,
2022-11-11,,221.14,215.0,222.47,214.0,1166053,254313392.0,,,,
2022-11-14,,214.0,208.37,215.77,207.65,1092683,230366880.0,,,,
2022-11-15,,208.37,213.11,213.24,207.81,829129,174925376.0,,,,
2022-11-16,,213.0,209.01,213.4,208.65,710865,149531280.0,,,,
2022-11-17,,208.33,207.21,208.38,204.76,801496,165009152.0,,,,
2022-11-18,,208.12,206.0,209.34,205.5,563158,116923928.0,,,,
2022-11-21,,206.0,207.19,207.99,204.1,478182,98475472.0,,,,
2022-11-22,,205.11,202.7,207.19,202.51,625115,128061800.0,,,,
2022-11-23,,203.97,204.86,205.5,200.12,590255,119823536.0,,,,
