日期,开盘,收盘,最高,最低,周成交量
2015-09-02,1649.15,1682.22,1745.46,1617.52,1975099
2015-09-11,1692.45,1767.12,1854.81,1673.69,7692766
2015-09-18,1790.82,1675.46,1793.86,1591.79,9297290
2015-09-25,1651.92,1666.22,1763.53,1638.37,7215739
2015-09-30,1670.03,1672.25,1696.36,1638.53,2666936
2015-10-09,1723.58,1802.3,1806.64,1720.24,4150228
2015-10-16,1809.24,1983.77,1989.06,1806.76,12309344
2015-10-23,1977.07,2033.44,2039.43,1866.95,13476967
2015-10-30,2063.07,2023.04,2092.56,1947.68,10661855
2015-11-06,1989.91,2197.8,2208.53,1955.36,13017444
2015-11-13,2183.83,2159.43,2253.39,2142.53,12344337
2015-11-20,2119.86,2262.62,2265.96,2114.5,10720610
2015-11-27,2262.8,2255.53,2387.81,2191.2,15094189
2015-12-04,2267.47,2264.1,2335.74,2156.86,14863045
2015-12-11,2274.99,2207.98,2295.27,2187.31,8859161
2015-12-18,2191.62,2298.04,2339.09,2181.64,9005536
2015-12-25,2299.21,2311.0,2362.44,2262.28,8508935
2015-12-31,2314.12,2269.02,2329.25,2215.63,6123661
2016-01-08,2266.34,1894.46,2267.51,1797.77,6484503
2016-01-15,1858.01,1728.85,1874.64,1662.18,5268217
2016-01-22,1664.17,1693.44,1778.91,1648.25,5597321
2016-01-29,1703.11,1535.5,1733.05,1469.16,4609927
2016-02-05,1539.71,1587.56,1614.17,1501.16,4586715
2016-02-19,1529.59,1662.22,1695.81,1520.9,5086421
2016-02-26,1686.8,1678.77,1779.44,1633.65,7744098
2016-03-04,1648.56,1734.69,1790.27,1553.74,9232483
2016-03-11,1768.03,1776.41,1837.87,1689.74,7979114
2016-03-18,1826.08,1895.9,1937.67,1794.06,11050619
2016-03-25,1930.27,1871.89,1943.76,1849.55,8728751
2016-04-01,1874.53,1901.13,1931.6,1810.64,5988927
2016-04-08,1911.84,1936.89,1991.3,1900.44,5066270
2016-04-15,1948.88,1955.81,2009.88,1912.74,6514705
2016-04-22,1951.41,1827.73,1951.41,1792.48,4694511
2016-04-29,1827.78,1782.42,1836.63,1751.26,3397980
2016-05-06,1762.15,1747.83,1828.98,1747.14,3624108
2016-05-13,1732.88,1711.3,1736.69,1622.21,3654785
2016-05-20,1686.69,1646.56,1714.87,1610.88,3981195
2016-05-27,1648.05,1678.73,1695.38,1624.85,4291391
2016-06-03,1668.94,1795.66,1820.46,1654.12,6431136
2016-06-08,1795.84,1798.14,1817.27,1778.49,2941081
2016-06-17,1774.67,1802.07,1813.01,1699.17,4668323
2016-06-24,1822.41,1906.53,1914.08,1807.03,6163477
2016-07-01,1893.89,1946.27,1980.89,1891.81,6717402
2016-07-08,1945.56,2009.92,2030.51,1944.2,8770771
2016-07-15,2008.63,2056.99,2072.8,1958.27,7913484
2016-07-22,2046.76,2030.93,2079.36,2025.82,4669631
2016-07-29,2031.25,2013.92,2059.65,1943.0,8328047
2016-08-05,2018.27,2003.09,2028.46,1967.63,6192690
2016-08-12,1996.81,2002.8,2060.1,1970.7,5727493
2016-08-19,2007.98,2098.03,2131.44,2001.74,7917229
