股票代码,股票名称,扫描日期,匹配度,市值(亿),买点价格,是否通过
000592,平潭发展,2025-01-06,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002104,恒宝股份,2025-01-06,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002759,天际股份,2025-01-06,0,N/A,0,错误: _process_single_stock() missing 4 required positio
300436,广生堂,2025-01-06,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301005,超捷股份,2025-01-06,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301232,飞沃科技,2025-01-06,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002788,鹭燕医药,2025-01-06,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603778,国晟科技,2025-01-06,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603122,合富中国,2025-01-06,0,N/A,0,错误: _process_single_stock() missing 4 required positio
600343,航天动力,2025-01-06,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603216,梦天家居,2025-01-06,0,N/A,0,错误: _process_single_stock() missing 4 required positio
000592,平潭发展,2025-01-13,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002104,恒宝股份,2025-01-13,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002759,天际股份,2025-01-13,0,N/A,0,错误: _process_single_stock() missing 4 required positio
300436,广生堂,2025-01-13,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301005,超捷股份,2025-01-13,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301232,飞沃科技,2025-01-13,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002788,鹭燕医药,2025-01-13,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603778,国晟科技,2025-01-13,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603122,合富中国,2025-01-13,0,N/A,0,错误: _process_single_stock() missing 4 required positio
600343,航天动力,2025-01-13,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603216,梦天家居,2025-01-13,0,N/A,0,错误: _process_single_stock() missing 4 required positio
000592,平潭发展,2025-01-20,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002104,恒宝股份,2025-01-20,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002759,天际股份,2025-01-20,0,N/A,0,错误: _process_single_stock() missing 4 required positio
300436,广生堂,2025-01-20,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301005,超捷股份,2025-01-20,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301232,飞沃科技,2025-01-20,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002788,鹭燕医药,2025-01-20,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603778,国晟科技,2025-01-20,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603122,合富中国,2025-01-20,0,N/A,0,错误: _process_single_stock() missing 4 required positio
600343,航天动力,2025-01-20,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603216,梦天家居,2025-01-20,0,N/A,0,错误: _process_single_stock() missing 4 required positio
000592,平潭发展,2025-01-27,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002104,恒宝股份,2025-01-27,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002759,天际股份,2025-01-27,0,N/A,0,错误: _process_single_stock() missing 4 required positio
300436,广生堂,2025-01-27,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301005,超捷股份,2025-01-27,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301232,飞沃科技,2025-01-27,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002788,鹭燕医药,2025-01-27,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603778,国晟科技,2025-01-27,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603122,合富中国,2025-01-27,0,N/A,0,错误: _process_single_stock() missing 4 required positio
600343,航天动力,2025-01-27,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603216,梦天家居,2025-01-27,0,N/A,0,错误: _process_single_stock() missing 4 required positio
000592,平潭发展,2025-02-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002104,恒宝股份,2025-02-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002759,天际股份,2025-02-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
300436,广生堂,2025-02-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301005,超捷股份,2025-02-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301232,飞沃科技,2025-02-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002788,鹭燕医药,2025-02-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603778,国晟科技,2025-02-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603122,合富中国,2025-02-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
600343,航天动力,2025-02-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603216,梦天家居,2025-02-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
000592,平潭发展,2025-02-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002104,恒宝股份,2025-02-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002759,天际股份,2025-02-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
300436,广生堂,2025-02-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301005,超捷股份,2025-02-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301232,飞沃科技,2025-02-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002788,鹭燕医药,2025-02-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603778,国晟科技,2025-02-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603122,合富中国,2025-02-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
600343,航天动力,2025-02-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603216,梦天家居,2025-02-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
000592,平潭发展,2025-02-17,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002104,恒宝股份,2025-02-17,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002759,天际股份,2025-02-17,0,N/A,0,错误: _process_single_stock() missing 4 required positio
300436,广生堂,2025-02-17,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301005,超捷股份,2025-02-17,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301232,飞沃科技,2025-02-17,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002788,鹭燕医药,2025-02-17,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603778,国晟科技,2025-02-17,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603122,合富中国,2025-02-17,0,N/A,0,错误: _process_single_stock() missing 4 required positio
600343,航天动力,2025-02-17,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603216,梦天家居,2025-02-17,0,N/A,0,错误: _process_single_stock() missing 4 required positio
000592,平潭发展,2025-02-24,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002104,恒宝股份,2025-02-24,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002759,天际股份,2025-02-24,0,N/A,0,错误: _process_single_stock() missing 4 required positio
300436,广生堂,2025-02-24,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301005,超捷股份,2025-02-24,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301232,飞沃科技,2025-02-24,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002788,鹭燕医药,2025-02-24,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603778,国晟科技,2025-02-24,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603122,合富中国,2025-02-24,0,N/A,0,错误: _process_single_stock() missing 4 required positio
600343,航天动力,2025-02-24,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603216,梦天家居,2025-02-24,0,N/A,0,错误: _process_single_stock() missing 4 required positio
000592,平潭发展,2025-03-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002104,恒宝股份,2025-03-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002759,天际股份,2025-03-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
300436,广生堂,2025-03-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301005,超捷股份,2025-03-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301232,飞沃科技,2025-03-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002788,鹭燕医药,2025-03-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603778,国晟科技,2025-03-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603122,合富中国,2025-03-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
600343,航天动力,2025-03-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603216,梦天家居,2025-03-03,0,N/A,0,错误: _process_single_stock() missing 4 required positio
000592,平潭发展,2025-03-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002104,恒宝股份,2025-03-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002759,天际股份,2025-03-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
300436,广生堂,2025-03-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301005,超捷股份,2025-03-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
301232,飞沃科技,2025-03-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
002788,鹭燕医药,2025-03-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603778,国晟科技,2025-03-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603122,合富中国,2025-03-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
600343,航天动力,2025-03-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
603216,梦天家居,2025-03-10,0,N/A,0,错误: _process_single_stock() missing 4 required positio
